State Name,Dist Name,SOIL TYPE PERCENT (Percent),Year_Rainfall,JANUARY NORMAL RAINFALL (Millimeters),FEBRUARY NORMAL RAINFALL (Millimeters),MARCH NORMAL RAINFALL (Millimeters),APRIL NORMAL RAINFALL (Millimeters),MAY NORMAL RAINFALL (Millimeters),JUNE NORMAL RAINFALL (Millimeters),JULY NORMAL RAINFALL (Millimeters),AUGUST NORMAL RAINFALL (Millimeters),SEPTEMBER NORMAL RAINFALL (Millimeters),OCTOBER NORMAL RAINFALL (Millimeters),NOVEMBER NORMAL RAINFALL (Millimeters),DECEMBER NORMAL RAINFALL (Millimeters),ANNUAL NORMAL RAINFALL (Millimeters)
Uttar Pradesh,Jhansi,INCEPTISOLS - 100%,Average 30 years,17,14,11,3,8,105,298,309,190,32,5,7,999
Uttar Pradesh,Jalaun,INCEPTISOLS - 100%,Average 30 years,21,5,8,2,7,106,273,372,159,89,1,2,1045
Uttar Pradesh,Hamirpur,INCEPTISOLS - 100%,Average 30 years,23,14,9,3,6,84,300,343,150,56,4,4,998
Uttar Pradesh,Banda,INCEPTISOLS - 100%,Average 30 years,23,13,10,2,7,72,280,380,142,70,4,2,1005
Uttar Pradesh,Varanasi,INCEPTISOLS - 80% ; UDUPTS/UDALFS - 20%,Average 30 years,25,22,12,4,12,92,306,342,226,60,10,3,1114
Uttar Pradesh,Mirzpur,INNCEPTISOLS - 60% ; UDUPTS/UDALFS - 40%,Average 30 years,24,19,14,4,9,106,329,323,225,45,11,4,1112
Uttar Pradesh,Jaunpur,INCEPTISOLS -100%,Average 30 years,22,15,12,3,11,107,328,285,238,43,11,4,1079
Uttar Pradesh,Ghazipur,INCEPTISOLS - 100%,Average 30 years,15,18,8,5,12,123,277,290,200,49,7,5,1008
Uttar Pradesh,Ballia,INCEPTISOLS - 100%,Average 30 years,18,16,11,9,21,143,294,300,217,48,7,3,1085
Uttar Pradesh,Gorakhpur,INCEPTISOLS - 100%,Average 30 years,19,14,11,11,41,186,342,315,253,74,5,3,1274
Uttar Pradesh,Deoria,INCEPTISOLS - 100%,Average 30 years,19,15,15,20,50,188,346,296,221,60,5,3,1237
Uttar Pradesh,Basti,INCEPTISOLS - 100%,Average 30 years,21,16,10,9,30,159,348,320,245,66,5,4,1234
Uttar Pradesh,Azamgarh,INCEPTISOLS - 100%,Average 30 years,22,9,16,3,8,103,274,290,261,50,9,3,1048
Uttar Pradesh,Lucknow,INCEPTISOLS - 100%,Average 30 years,24,17,9,6,12,94,299,302,182,40,1,6,992
Uttar Pradesh,Unnao,INCEPTISOLS - 100%,Average 30 years,27,14,11,4,9,77,262,302,187,42,5,6,946
Uttar Pradesh,Rae-Bareily,INCEPTISOLS - 100%,Average 30 years,21,16,11,5,11,80,298,311,183,41,4,5,987
Uttar Pradesh,Sitapur,INCEPTISOLS - 100%,Average 30 years,37,13,15,3,18,127,330,305,176,71,1,3,1099
Uttar Pradesh,Hardoi,INCEPTISOLS - 100%,Average 30 years,39,10,18,1,9,124,335,324,186,12,2,2,1062
Uttar Pradesh,Kheri,INCEPTISOLS - 100%,Average 30 years,44,12,19,2,24,135,329,305,158,101,1,2,1132
Uttar Pradesh,Faizabad,INCEPTISOLS - 100%,Average 30 years,21,17,10,7,21,135,341,316,236,54,6,5,1169
Uttar Pradesh,Gonda,INCEPTISOLS - 100%,Average 30 years,27,16,11,8,27,158,372,353,250,65,2,5,1294
Uttar Pradesh,Bahraich,INCEPTISOLS - 100%,Average 30 years,28,17,12,7,23,142,361,285,210,83,2,7,1177
Uttar Pradesh,Sultanpur,INCEPTISOLS - 100%,Average 30 years,21,17,11,5,15,117,325,317,225,46,6,5,1111
Uttar Pradesh,Pratapgarh,INCEPTISOLS - 100%,Average 30 years,20,18,12,5,10,99,302,312,206,39,7,6,1035
Uttar Pradesh,Barabanki,INCEPTISOLS - 100%,Average 30 years,26,16,11,5,16,113,327,313,200,53,2,5,1089
Uttarakhand,Nainital,INCEPTISOLS - 85% ; UDOLLS/UDALFS - 15%,Average 30 years,58,56,45,34,51,143,332,338,197,79,4,23,1360
Uttarakhand,Almorah,UDOLLS/UDALFS - 85% ; INCEPTISOLS - 15%,Average 30 years,59,61,43,31,54,151,332,312,172,62,4,24,1305
Uttarakhand,Pithorgarh,INCEPTISOLS - 1005,Average 30 years,61,58,45,32,57,162,332,301,171,75,4,23,1321
Uttarakhand,Chamoli,UDOLLS/UDALFS - 100%,Average 30 years,66,71,51,36,63,165,341,303,156,54,6,29,1338
Uttarakhand,Uttar Kashi,UDOLLS/UDALFS - 100%,Average 30 years,73,79,67,39,57,165,516,499,224,49,9,34,1811
Uttarakhand,Tehri Garhwal,UDOLLS/UDALFS - 100%,Average 30 years,66,72,54,32,55,169,479,459,211,48,6,29,1681
Uttarakhand,Garhwal,INCEPTISOLS - 55% ; UDOLLS/UDALFS - 45%,Average 30 years,56,61,40,25,47,150,399,381,194,50,4,22,1430
Uttarakhand,Dehradun,UDOLLS/UDALFS - 60% ; INCEPTISOLS - 40%,Average 30 years,62,59,40,17,42,186,703,765,327,71,5,19,2296
Assam,Cachar,FLUVENTS-OCHREPTS,Average 30 years,17,47,155,30,440,628,476,537,398,195,44,9,2976
Assam,Darrang,USTALFS-OCHREPTS,Average 30 years,17,30,60,193,287,408,412,351,273,116,34,10,2193
Assam,Dibrugarh,FLUVENTS-OCHREPTS,Average 30 years,26,63,116,365,319,467,514,442,343,144,29,15,2843
Assam,Goalpara,USTALFS-OCHREPTS,Average 30 years,10,20,47,166,399,621,752,403,379,145,14,4,2959
Assam,Kamrup,USTALFS-OCHREPTS,Average 30 years,10,30,56,82,319,451,399,340,329,93,16,6,2130
Assam,Karbi Anglong,USTALFS-OCHREPTS,Average 30 years,16,45,154,70,414,681,490,452,372,195,66,8,2962
Assam,Lakhimpur,FLUVENTS-OCHREPTS,Average 30 years,26,63,116,310,319,467,514,442,343,144,29,15,2788
Assam,North Cachar Hil / Dima hasao,USTALFS-OCHREPTS,Average 30 years,16,45,154,130,414,681,490,452,372,195,66,8,3022
Assam,Nagaon,USTALFS-OCHREPTS,Average 30 years,12,28,81,84,194,294,347,324,231,100,19,9,1722
Assam,Sibsagar,FLUVENTS-OCHREPTS,Average 30 years,38,47,95,176,271,350,404,373,283,120,27,13,2196
Himachal Pradesh,Bilashpur,UDALFS,Average 30 years,90,61,57,26,46,111,333,299,156,31,14,34,1258
Himachal Pradesh,Chamba,UDALFS,Average 30 years,118,109,137,79,70,97,339,297,147,53,26,55,1527
Himachal Pradesh,Kangra,UDALFS-OCHREPTS,Average 30 years,90,76,84,38,43,129,586,506,247,49,14,46,1908
Himachal Pradesh,Kinnaur,,Average 30 years,100,104,108,76,59,30,47,49,57,34,18,52,734
Himachal Pradesh,Kullu,UDALFS,Average 30 years,64,60,91,53,57,84,223,182,101,30,9,31,985
Himachal Pradesh,Lahul & Spiti,,Average 30 years,146,141,192,115,101,53,162,135,105,61,32,65,1308
Himachal Pradesh,Solan,UDALFS,Average 30 years,80,70,72,30,53,139,391,338,170,51,15,36,1445
Himachal Pradesh,Mandi,UDALFS-OCHREPTS,Average 30 years,77,67,81,46,55,156,428,393,163,37,17,31,1551
Himachal Pradesh,Shimla,UDALFS-OCHREPTS,Average 30 years,70,58,76,44,64,118,276,213,112,35,13,26,1105
Himachal Pradesh,Sirmaur,UDALFS,Average 30 years,60,47,44,17,20,139,527,537,201,53,10,34,1689
Kerala,Alappuzha,PSAMMENTS-OCHREPTS,Average 30 years,25,27,56,129,323,637,547,327,271,333,228,61,2964
Kerala,Kannur,FLUVENTS-ORTHENTS,Average 30 years,4,4,8,64,244,891,1085,570,249,226,99,23,3467
Kerala,Eranakulam,PSAMMENTS-ORTHENTS,Average 30 years,15,17,41,134,318,740,721,451,288,312,172,45,3254
Kerala,Kottayam,USTALFS-TROPEPTS,Average 30 years,24,24,52,125,310,697,640,400,285,331,188,55,3131
Kerala,Kozhikode,FLUVENTS-ORTHENTS,Average 30 years,9,7,21,93,297,925,1034,547,257,284,157,36,3667
Kerala,Malappuram,FLUVENTS-ORTHENTS,Average 30 years,5,7,21,86,221,688,797,399,205,291,157,30,2907
Kerala,Palakkad,ORTHENTS-TROPEPTS,Average 30 years,8,9,27,87,161,477,633,349,165,249,136,28,2329
Kerala,Kollam,DYSTROPEPTS-ORTHENTS,Average 30 years,24,31,75,166,242,487,428,273,212,350,216,60,2564
Kerala,Thrissur,PSAMMENTS-ORTHENTS,Average 30 years,7,10,27,86,296,769,759,443,257,301,144,31,3130
Kerala,Thiruvananthapuram,DYSTROPEPTS-ORTHENTS,Average 30 years,22,19,45,120,225,377,279,157,170,280,182,67,1943
Orissa,Balasore,USTALF/USTOLLS - 100%,Average 30 years,17,31,38,48,98,234,318,335,287,230,45,9,1690
Orissa,Bolangir,LOAMY ALFISOLS - 55% ; ORTHIDS - 45%,Average 30 years,8,10,23,14,41,212,417,452,316,88,6,1,1588
Orissa,Cuttack,LOAMY ALFISOLS - 60% ; ORTHIDS - 50%,Average 30 years,10,29,20,27,72,215,355,365,252,168,41,5,1559
Orissa,Dhenkanal,LOAMY ALFISOLS - 60% ; USTALF/USTOLLS- 40%,Average 30 years,14,34,19,32,159,219,360,339,233,103,35,5,1552
Orissa,Ganjam,ORTHIDS - 40% ; SANDY ALFISOL - 60%,Average 30 years,8,22,22,15,51,141,193,200,185,379,80,15,1311
Orissa,Kalahandi,USTALF/USTOLLS - 70% ; LOAMY ALFISOLS - 30%,Average 30 years,7,10,21,45,67,199,364,414,250,111,20,4,1511
Orissa,Keonjhar,USTALF/USTOLLS - 65% ; LOAMY ALFISOLS - 35%,Average 30 years,23,36,19,48,95,195,367,300,213,91,30,5,1422
Orissa,Koraput,LOAMY ALFISOLS - 80% ; SANDY ALFISOL - 20%,Average 30 years,7,2,18,48,70,212,425,488,245,134,19,3,1671
Orissa,Mayurbhanja,USTALF/USTOLLS - 65% ; LOAMY ALFISOLS - 35%,Average 30 years,8,17,14,10,58,174,248,211,230,286,87,17,1361
Orissa,Phulbani ( Kandhamal ),LOAMY ALFISOL - 50% ; USTALF/USTOLLS - 50%,Average 30 years,13,25,28,58,102,192,274,277,246,157,45,8,1425
Orissa,Puri,ORTHIDS - 50% ; LOAMY ALFISOLS - 50%,Average 30 years,9,20,14,12,63,187,296,256,258,242,75,8,1440
Orissa,Sambalpur,USTALF/USTOLLS - 100%,Average 30 years,19,25,23,12,25,338,503,477,262,68,10,2,1764
Orissa,Sundargarh,USTALF/USTOLLS - 100%,Average 30 years,19,33,21,31,76,246,426,379,232,81,22,4,1572
West Bengal,24 Parganas,ORTHIDS - 100%,Average 30 years,13,21,30,57,157,298,362,348,280,164,33,5,1768
West Bengal,Nadia,ORTHIDS - 100%,Average 30 years,11,23,31,60,141,252,281,271,205,130,26,3,1434
West Bengal,Murshidabad,UDUPTS/UDALFS - 80% ; ORTHIDS - 20%,Average 30 years,13,19,18,37,115,219,295,302,226,127,16,4,1391
West Bengal,Burdwan,UDUPTS/UDALFS - 75% ; ORTHIDS - 25%,Average 30 years,11,25,25,46,115,196,314,301,237,107,23,4,1404
West Bengal,Birbhum,UDUPTS/UDALFS - 100%,Average 30 years,14,24,21,38,100,185,323,313,235,115,19,3,1391
West Bengal,Bankura,USTALF/USTOLLS - 50% ; UDUPTS/UDALFS - 50%,Average 30 years,20,22,13,25,61,192,330,320,259,116,13,2,1373
West Bengal,Hooghly,ORTHIDS - 85% ; UDUPTS/UDALFS - 15%,Average 30 years,12,23,30,52,132,348,316,308,243,127,28,4,1622
West Bengal,Howrah,INCEPTISOLS - 100%,Average 30 years,14,23,28,47,125,497,318,321,269,152,32,4,1831
West Bengal,Jalpaiguri,INCEPTISOLS - 100%,Average 30 years,9,14,30,151,340,710,776,663,537,143,14,3,3390
West Bengal,Darjeeling,INCEPTISOLS - 100%,Average 30 years,22,27,52,109,187,522,713,573,419,116,14,5,2759
West Bengal,Malda,INCEPTISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,13,18,15,28,104,232,303,288,276,118,13,2,1410
West Bengal,Cooch Behar,INCEPTISOLS - 100%,Average 30 years,11,17,31,134,44,767,702,506,502,168,10,4,2896
West Bengal,Purulia,USTALF/USTOLLS - 100%,Average 30 years,10,14,21,27,42,178,331,312,287,80,4,1,1307
West Bengal,Midnapur,ORTHIDS - 100%,Average 30 years,14,28,32,42,111,244,322,340,272,145,35,3,1590
West Bengal,Kolkata,ORTHIDS - 100%,Average 30 years,14,24,27,43,121,259,301,306,290,160,35,3,1583
West Bengal,West Dinajpur,INCEPTISOLS - 60% ; UDUPTS/UDALFS - 40%,Average 30 years,13,15,21,60,202,413,478,411,358,139,11,2,2124
Bihar,Champaran,INCEPTISOLS - 100%,Average 30 years,18,15,15,25,56,203,366,285,197,46,5,2,1234
Bihar,Muzaffarpur,INCEPTISOLS - 100%,Average 30 years,16,15,13,20,57,198,334,300,234,54,6,2,1250
Bihar,Darbhanga,INCEPTISOLS - 100%,Average 30 years,20,15,10,20,57,190,329,291,247,70,7,2,1258
Bihar,Saharsa,INCEPTISOLS - 100%,Average 30 years,18,14,18,32,97,268,381,337,265,85,8,2,1525
Bihar,Purnea,INCEPTISOLS - 100%,Average 30 years,16,16,13,30,100,238,363,329,267,102,8,1,1483
Bihar,Saran,INCEPTISOLS - 100%,Average 30 years,18,16,11,17,39,181,335,294,206,44,5,2,1168
Bihar,Patna,INCEPTISOLS - 100%,Average 30 years,21,20,7,8,28,139,266,307,243,63,6,2,1110
Bihar,Mungair,USTALF/USTOLLS - 60% ; INCEPTISOLS - 40%,Average 30 years,33,5,9,8,38,108,248,226,196,81,3,1,956
Bihar,Bhagalpur,INCEPTISOLS - 60% ; USTALF/USTOLLS - 40%,Average 30 years,35,4,6,9,48,208,253,251,246,79,5,2,1146
Jharkhand,Santhal Paragana / Dumka,INCEPTISOLS - 100%,Average 30 years,16,20,14,26,80,209,294,285,251,106,12,2,1316
Bihar,Shahabad (now part of Bhojpur district),INCEPTISOLS - 80% ; USTALF/USTOLLS - 20%,Average 30 years,19,19,9,8,17,134,283,319,216,46,7,3,1079
Bihar,Gaya,USTALF/USTOLLS - 100%,Average 30 years,24,21,10,6,18,109,289,364,194,51,6,3,1095
Jharkhand,Hazaribagh,USTALF/USTOLLS - 100%,Average 30 years,31,26,20,15,48,165,335,350,233,80,11,5,1319
Jharkhand,Dhanbad,USTALF/USTOLLS - 100%,Average 30 years,16,22,16,16,41,160,249,347,229,90,9,3,1198
Jharkhand,Palamau,USTALF/USTOLLS - 100%,Average 30 years,31,27,21,9,13,140,346,358,224,57,7,4,1237
Jharkhand,Ranchi,USTALF/USTOLLS - 100%,Average 30 years,24,39,28,23,50,202,360,354,256,105,17,4,1462
Jharkhand,Singhbhum,USTALF/USTOLLS - 100%,Average 30 years,15,28,24,27,66,197,336,336,217,88,19,2,1353
Tamil Nadu,Chennai,,Average 30 years,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
